,id,text,time stamp
349,@ChuckCallesto,"BREAKING NOW Major Tsunami Warning Issued for Japan after . magnitude earthquake hits just north of the Mainland.. DEVELOPING.. Residents told TO EVACUATE after strong earthquakes.. Waves as high as five meters, or feet, could hit the shores of the Noto region of",01-01-2024
355,@JapanEmb_Arg,"El a las h se produjo un terremoto de magnitud , con epicentro en Noto, Pref. de Ishikawa y siguen las replicas en zonas cercanas El sismo registro una intensidad escala de a Segui las indicaciones de y ultimas noticias en",01-01-2024
481,@Tendar,"The year starts with a relative strong earthquake in Japan. According to USGS, a M. quake rocked the north of the Ishikawa prefecture. Tsunami warning along the entire Western coast of Japan. Operations of the Shinkansen and every other train services in the immediate area of",01-01-2024
482,@HollowDreams01,"BREAKING Footage A major .-magnitude earthquake occurred in Japan. Footage from the local Shinkansen station in Ishikawa prefecture, extremely powerful shaking! earthquake A tsunami warning has also been issued. deprem sismo",01-01-2024
483,@Fala_Babi,Que triste gente Tsunami atinge Ishikawa no Japao apos o terremoto M.. de janeiro Terremoto comecou assim,01-01-2024
485,@TimesAlgebraIND,BREAKING Waves recorded breaking over the seawall in Ishikawa prefecture amid Tsunami warning in Japan. Japan Earthquake Tsunami,01-01-2024
486,@TPV_John,BREAKING! Ishikawa Prefecture region of Japan rings in the New Year with a . Magnitude Earthquake causing hazardous tsunamis up and down the Western coast. Pray for Japan!,01-01-2024
487,@CaptainKantor,"Ishikawa prefecture, west coast of Japan experienced . magnitude earthquake and numerous after shocks. First major Tsunami warning has been issued since . Just watching this would score the living daylights out of you.",01-01-2024
489,@mrjeffu,Video it looks like the stone lanterns at Ishikawas Onominato Shrine nearly fell over during todays earthquake.,01-01-2024
490,@mrjeffu,The earthquake that hit Ishikawa today was so strong that it apparently knocked over the stone lantern at the Sanjoso Hachimangu Shrine up the coast in Niigata prefecture. Niigata recorded an earthquake intensity of on the JMA scale,01-01-2024
491,@RRcarlos24,"El empieza con fuerza, un terremoto en la region de Ishikawa Japon, de magnitud .-. con una sucesion de terremotos en min causa destrozos en Japon. Se activo la amenaza de Tsunami en la costa occidental del pais.",01-01-2024
492,@CBSNews,"A powerful . magnitude earthquake struck Japans west coast near Ishikawa, causing dozens of building to collapse. A tsunami warning has been issued, urging coastal residents in the region to evacuate.",01-01-2024
494,@mrjeffu,Video NHK has aired this frightening footage of a building collapsing in Ishikawa during todays earthquake. It registered as on the JMA Seismic Intensity Scale.,01-01-2024
495,@jeogaste,"Son Dakika un ilk buyuk deprem i Japonyanin Ishikawa bolgesinde yarm saat once . buyuklugunde cok siddetli deprem meydana geldi! dk sonra . buyuklugunde bir artc sok oldu Deprem, Kanazawa ve Toyama gibi yogun nufuslu sehirlere yakn earthquake japan",01-01-2024
496,@Rainmaker1973,"An entire bridge detaching from the road. It happened today at local time after an M. earthquake hit the prefectures of Ishikawa, Niigata and Toyama in Central Japan. Yeye",01-01-2024
497,@Top_Disaster,"More videos Destruction aftermath the terrible . M earthquake hits Kanazawa of Ishikawa Prefecture, Japan Video Axxx_ X TELEGRAM JOIN",01-01-2024
500,@MagandangHapon,Tsunami now in Toyama Prefecture! Higher tsunami is expected in Ishikawa Prefecture. Please be safe,01-01-2024
501,@IndoPac_Info,Japan Earthquake Waves recorded breaking over the seawall in Ishikawa prefecture amid Tsunami warning in Japan. Via Insider Paper.,01-01-2024
502,@AlertaNews24,"La region de Ishikawa en Japon registro sismo de , magnitud, generando alertas de tsunami en toda la costa occidental del pais.",01-01-2024
504,@Buritica_news,"ULTIMA HORA La region de Ishikawa Japan recibio el , con una sucesion de terremotos, el mas poderoso que se registro fue de . grados, generando alertas de tsunami en toda la costa occidental del pais. earthquake Terremoto",01-01-2024
505,@Top_Disaster,"The video footage aftermath the terrible earthquake at shopping mall in Komatsu of Ishikawa, Japan .. Video Picpic Cypcyp TELEGRAM JOIN",01-01-2024
509,@greghill,Tsunami warnings are in place for all prefectures with coasts facing the Sea of Japan. Japanese TV urging people to run immediately to higher ground! This is serious. m waves expected in Ishikawa. japan earthquake,01-01-2024
510,@EmergenciasEc,"Asi amanece la region de Ishikawa en Japon, con mas de terremotos, el mas poderoso que se registro fue de . grados, generando alertas de tsunami en en todo el pais",01-01-2024
512,@dulcefer12,"Arranca con un Terremoto . en Japon, Ishikawa. A las hora local. Hay alerta de tsunami.",01-01-2024
514,@UnseenJapanSite,"A major earthquake just hit directly north of Ishikawa Prefecture on the Sea of JapanEast Sea, with shaking measuring at a on the Japanese seismic scale. Areas in Japans Hokuriku region experienced major shaking. A tsunami warning is now in effect.",01-01-2024
515,@krassenstein,"Its not a Happy New Year in Japan, unfortunately, after a MASSIVE .-magnitude AND another . magnitude earthquake has struck the country. This has sparked serious Tsunamis warnings up and down the coasts. The video below is from the coastal town of Uchinada in Ishikawa,",01-01-2024
516,@IndoPac_Info,"Japan Earthquake Major damage reported in the coastal town of Uchinada in Ishikawa, Japan after . magnitude earthquake. Via Insider Paper.",01-01-2024
517,@TheInsiderPaper,"WATCH Major damage reported in coastal town of Uchinada in Ishikawa, Japan after . magnitude earthquake",01-01-2024
518,@WxNB_,BREAKING Japan Meteorological Agency says a powerful .-magnitude earthquake has struck Ishikawa Prefecture. Credit HAB,01-01-2024
519,@TheInsiderPaper,"BREAKING Video from the local station in Ishikawa prefecture, Japan extremely powerful shaking amid major earthquake earthquake Japan Tsunami",01-01-2024
520,@MarioNawfal,"MASSIVE DAMAGE REPORTED SERIES OF EARTHQUAKES HIT JAPAN ., ., and . magnitude earthquakes hit Anamizu, a coastal town in Ishikawa area of central Japan, home to about , residents. Evacuation orders and tsunami warnings issued for the region. Source AP",01-01-2024
521,@SasslaMx,"UltimaHora Se registra sismo magnitud . en la Prefectura de Ishikawa, Japon. Hay alerta de tsunami local. Se esperan olas de entre y metros de altura. Informacion en desarrollo.",01-01-2024
523,@TheInsiderPaper,BREAKING Waves recorded breaking over the seawall in Ishikawa prefecture amid Tsunami warning in Japan,01-01-2024
525,@MarioNawfal,"BREAKING EVACUATION ORDERS MASSIVE EARTHQUAKE HITS CENTRAL JAPAN Immediate evacuation orders issued for the western coastal areas of Niigata, Toyama, and Ishikawa following a . magnitude earthquake in Ishikawa Prefecture. Tsunami warnings in effect for the Japan Sea",01-01-2024
529,@visegrad24,"Damages in the town of Uchinada in Ishikawa, Japan after todays . magnitude earthquake",01-01-2024
532,@GeotechTips,"Un potente terremoto de magnitud , sacudio la costa oeste de Japon cerca de Ishikawa, provocando el derrumbe de decenas de edificios. Se ha emitido una alerta de tsunami, instando a los residentes costeros de la region a evacuar. Via",01-01-2024
534,@AreliPaz,Despues de las de la tarde hora de Japon un sismo magnitud . se registro en la prefectura de Ishikawa. Hay alerta de tsunami en la zona.,01-01-2024
536,@NHKWORLD_News,"A massive earthquake has struck Ishikawa Prefecture, central Japan. A tsunami warning has been issued for Niigata, Toyama, Ishikawa prefectures of the Japan Sea side of the country. People in these area must evacuate immediately.",01-01-2024
