text,date
black day magnitude earthquake hits turkey syria jordan lebanonthe level destruction caused earthquake turkey makes look like war zone declares emergencypray turkey,2023-02-06 13:09:47+00:00
momento tlv heart goes,2023-02-06 13:09:48+00:00
another heartshattering video,2023-02-06 13:09:50+00:00
thoughts people hope enough quick help way,2023-02-06 13:09:52+00:00
bad felt way,2023-02-06 13:09:54+00:00
heart prayers turkey syria earthquake caused much loss life pray safety rescuers providing aid site,2023-02-06 13:09:55+00:00
india shows action says words vasudhaiva kutumbhakam teams ndrf personnel dog squads medical teams relief material sent wake devastation,2023-02-06 13:09:56+00:00
erdogan calls earthquake biggest disaster country faced since,2023-02-06 13:09:58+00:00
tag bestii comments download save,2023-02-06 13:09:59+00:00
neither want water food want search rescue team search rescue team demand wherever world hatay turkey,2023-02-06 13:10:04+00:00
heart prayers go turkish syrian people affected two earthquakes,2023-02-06 13:10:09+00:00
victims families people worried relatives course first responders frontline workers,2023-02-06 13:10:13+00:00
allah mercy people still wreckage protect search rescue teams,2023-02-06 13:10:13+00:00
strikes km sw min ago info,2023-02-06 13:10:17+00:00
heartfelt condolences lost loved ones devastating earthquakes turkey syria wish injured speedy recovery pray god heal soon possible,2023-02-06 13:10:18+00:00
hey man need help turkey,2023-02-06 13:10:21+00:00
occurred km w min ago local time info,2023-02-06 13:10:22+00:00
heart goes families affected tragic event earthquake,2023-02-06 13:10:23+00:00
sir please watch hempcrete test tile deliberately broken burnt hempcrete mm tile hempcrete burn conclusionraw strength hempcrete,2023-02-06 13:10:24+00:00
israel offered assistance turkey syria following last nights deadly devastating earthquake syria requested aid extremely rare occurrence hearts go everyone impacted tragedy,2023-02-06 13:10:25+00:00
cannot view videos photos painful oh god please save people,2023-02-06 13:10:28+00:00
shahrukh decided donate earning,2023-02-06 13:10:33+00:00
devastating news,2023-02-06 13:10:34+00:00
indeed great disasteri hope loss everyone safe wish speedy recovery friends amp family affected,2023-02-06 13:10:34+00:00
today difficult day turkey syria sorry lost family members relatives friends please stay safe praying hope goes well,2023-02-06 13:10:35+00:00
know nowhere near bad yet still pretty uncommon,2023-02-06 13:10:43+00:00
terrible tragedy turkey true ukraines humanity expressed concerns offered help,2023-02-06 13:10:43+00:00
pray,2023-02-06 13:10:44+00:00
uk send immediate support turkiye including team rescue specialists,2023-02-06 13:10:49+00:00
devastating news prayers people,2023-02-06 13:10:49+00:00
hit turkey syria amp palestine may allah protect every individual fighting survival,2023-02-06 13:10:53+00:00
magnitude earthquake occurred southeastern magnitude occurred time building collapsed,2023-02-06 13:10:58+00:00
india dispatched rescue team amp medical help turkey,2023-02-06 13:11:04+00:00
another powerful magnitudea storey building heavily damaged collapsed,2023-02-06 13:11:06+00:00
sdrs available earthquake affected area turkey something coming h thessaloniki grim sure communications heard devastated areas,2023-02-06 13:11:08+00:00
gaziantep camera recording earthquake,2023-02-06 13:11:09+00:00
latest developments india abroad,2023-02-06 13:11:19+00:00
prayers turkey oallah mercy us many lives struggling debris painful imagine,2023-02-06 13:11:19+00:00
emergency help turkiye rescuing people destroyed building,2023-02-06 13:11:20+00:00
remember prayers,2023-02-06 13:11:23+00:00
may allah protect brothers sistersprayers turkiye syria countries affected earthquake,2023-02-06 13:11:30+00:00
cs engineers processing pan card requests single day,2023-02-06 13:11:33+00:00
many citizens live turkey please stay safe heart goes families lossxx,2023-02-06 13:11:34+00:00
central turkey hit another huge earthquake magnitude usgsread,2023-02-06 13:11:35+00:00
powerful another,2023-02-06 13:11:35+00:00
heroic footage news anchor running saving children buildings collapsing around themhes definitely hero book take note,2023-02-06 13:11:40+00:00
second earthquake magnitude struck southeastern turkeys kahramanmaras region,2023-02-06 13:11:40+00:00
hope countries world unite moment help areas affected strong earthquakeespecially turkey syria pray survived injured lost loved ones,2023-02-06 13:11:43+00:00
mag turkey syria insane god help,2023-02-06 13:11:48+00:00
second earthquake magnitude struck southeastern turkeys kahramanmaras region,2023-02-06 13:11:49+00:00
saying happened east turkey pretty sure epicentre west country know,2023-02-06 13:11:51+00:00
praying,2023-02-06 13:11:52+00:00
occurred km se min ago local time info,2023-02-06 13:12:02+00:00
almost destroyed houses takes livesgreat pain loss,2023-02-06 13:12:07+00:00
human spirit unbreakable even face tragedylets come together support victims turkey amp syria earthquake prayers,2023-02-06 13:12:07+00:00
earthquake hit turkey monday one powerful ever recorded country even shaking buildings israel syria deaths reported toll expected rise,2023-02-06 13:12:10+00:00
praying victims devastating earthquake turkey may love support world bring comfort strength affected god bless turkey,2023-02-06 13:12:13+00:00
may allah bless safe,2023-02-06 13:12:16+00:00
allah punish countries supporting pakistan,2023-02-06 13:12:19+00:00
another earthquake magnitude strikes central turkey says usgsthis third earthquake two powerful earthquakes less hours,2023-02-06 13:12:19+00:00
people killed thousands others injured powerful magnitude hit southern turkey,2023-02-06 13:12:21+00:00
earthquake turkey may allah swt save us prayers,2023-02-06 13:12:24+00:00
also looking way help ahbap reliable foundation helps rescuing people providing needs donate via link,2023-02-06 13:12:26+00:00
prays turkish people,2023-02-06 13:12:28+00:00
another magnitude earthquake hits central turkey death toll reached buildings collapsed heart goes people turkey syria lebanon prayers,2023-02-06 13:12:28+00:00
zeus new department pmc wagner,2023-02-06 13:12:30+00:00
shocking death injured massive magnitude earthquake condolences prayers departed souls,2023-02-06 13:12:33+00:00
prayers ones affected earthquake occured may allah provide strength families ones affected natural disaster,2023-02-06 13:12:34+00:00
seen confirmed casualties far reminder tremendous destructive power nature deadliest earthquakes st century,2023-02-06 13:12:38+00:00
prayers everyone affected earthquake turkey syria incredibly tragic hope receive international relief,2023-02-06 13:12:42+00:00
standing people difficult time amount damage done enormous entire world needs help recover disaster must also provide assistance sending troops needed,2023-02-06 13:12:45+00:00
united states dissatisfied turkey allowing sweden others join nato used seismic weapons turkey americans take full responsibility earthquake,2023-02-06 13:12:46+00:00
ghanaian player among victims reportedly trapped rubble massive struck prompting search rescue efforts wish everyone injured speedy recovery,2023-02-06 13:12:46+00:00
massive magnitude earthquake,2023-02-06 13:12:50+00:00
since feeling numbers heardalmost dealiest since people died,2023-02-06 13:12:50+00:00
powerful magnitude earthquake badly destroyed amp death toll rises injuredallah give strength amp power fight natural disasterthe entire world needs help turksyria recover disaster,2023-02-06 13:12:56+00:00
dead new toll,2023-02-06 13:13:02+00:00
multiple cracks reported atatrk dam nearby area vacantexperts warned dam may break time amp flood may impact square kilometres area near dam file photo,2023-02-06 13:13:07+00:00
