text,date,processed_text
In this difficult situation the only thing we can do is spread useful information so that everyone can help as much as possible.without judging who does what even in silence.That all this passes quickly.Ģeçmiş olsun Turkiye🇹🇷İtalya size yakın.❤️‍🩹,2023-02-07 13:19:30+00:00,in this difficult situation the only thing we can do is spread useful information so that everyone can help as much as possible without judging who does what even in silence that all this passes quickly ģeçmiş olsun turkiye talya size yakın 
❤️           Watch ▶️  ,2023-02-07 13:19:31+00:00, watch 
1/5    34 hours after the rescue teams tried to extract the victims and those trapped under the rubbleThe  requests for assistance have not yet been answered.The aid that has been provided does not amount to the scale of the disaster ,2023-02-07 13:19:37+00:00, hours after the rescue teams tried to extract the victims and those trapped under the rubblethe requests for assistance have not yet been answered the aid that has been provided does not amount to the scale of the disaster 
🔔 ( M3.4 occurred 23 km SE of  ( 18 min ago (local time 16:01:41). More info at:📱🌐🖥 ,2023-02-07 13:19:51+00:00, occurred km se of min ago local time smile more info at 
"WE NEED FOOD, WATER, MEDICINE, BLANKETS, DIAPERS/FOOD OR WHATEVER WE NEED EVERYTHING WE HAVE BEEN WAITING FOR HELP SINCE THE BEGINNING OF THE EARTHQUAKE THERE ARE AT LEAST A HUNDRED OF US     ",2023-02-07 13:19:52+00:00,we need food water medicine blankets diapers food or whatever we need everything we have been waiting for help since the beginning of the earthquake there are at least hundred of us 
"Volunteers at  airport to join quake aid effort in    |  |For more videos, click here  ",2023-02-07 13:20:00+00:00,volunteers at airport to join quake aid effort in for more videos click here 
Thank you Russia 🇷🇺🇹🇷      ,2023-02-07 13:20:04+00:00,thank you russia 
Quakes jolt  How has the govt's response been so far?  from Adana reports.  Full video of  with  -  ,2023-02-07 13:20:26+00:00,quakes jolt how has the govt response been so far from adana reports full video of with 
  Romania help Turkye ,2023-02-07 13:20:27+00:00, romania help turkye 
" | Turkish President Erdogan declares 3-month state of emergency in 10 provinces hit by massive earthquakes as death toll crosses 5000, expresses gratitude to India for its immediate assistance    ",2023-02-07 13:20:32+00:00, turkish president erdogan declares month state of emergency in provinces hit by massive earthquakes as death toll crosses expresses gratitude to india for its immediate assistance 
 teams from  rescued a 14-month-old baby alive from the rubble in      ,2023-02-07 13:20:49+00:00, teams from rescued month old baby alive from the rubble in 
"Turk nation, like a body, is busy 24 hours a day in sharing the pain and suffering of its victims.         ",2023-02-07 13:20:55+00:00,turk nation like body is busy hours day in sharing the pain and suffering of its victims 
Early morning on 6th February 2023 in Eastern Turkey a howling dog tried it best to warn the resident of the incoming earthquake      ,2023-02-07 13:20:59+00:00,early morning on th february in eastern turkey howling dog tried it best to warn the resident of the incoming earthquake 
YouTube video thumbnaildesign post no : 4          ,2023-02-07 13:21:08+00:00,youtube video thumbnaildesign post no 
Luckily the building had been evacuated.                 ,2023-02-07 13:21:09+00:00,luckily the building had been evacuated 
Race to search for survivors in the rubble day after deadly  jolted    stormy conditions and below-freezing temperatures are hampering rescue ops           ,2023-02-07 13:21:31+00:00,race to search for survivors in the rubble day after deadly jolted stormy conditions and below freezing temperatures are hampering rescue ops 
"If there are tens of thousands of multi story buildings collapsed and each has at least 4-5 families of 4 persons each, how many casualties we should expect from . ",2023-02-07 13:21:54+00:00,if there are tens of thousands of multi story buildings collapsed and each has at least families of persons each how many casualties we should expect from 
